gid,ubicacion,lng,lat
3,DELEGACION DR. MONTAÑA,-58.793845805697735,-27.520051618811042
4,DELEGACION SAN GERONIMO,-58.788930284194123,-27.475663057772589
5,DELEGACION SAN MARTIN,-58.836313776937402,-27.476731087219825
6,DELEGACION 17 DE AGOSTO,-58.783669757963494,-27.49041176804743
7,PLAZA LIBERTAD,-58.822280124233089,-27.470315242505659
16,PLAZA SAN JOSE OBRERO,-58.794606616006782,-27.481522105363918
17,DELEGACION MADARIAGA,-58.804234177958079,-27.473030622554234
18,PLAZA GRAL. BELGRANO,-58.850307261147265,-27.475194366905544
1,DELEGACION DR. NICOLINI,-58.829470128561574,-27.494781223758665
10,DESTACAMENTO B° PIRAYUI,-58.768103888054902,-27.518805955024941
8,PARQUE CAMBA CUA,-58.845460595737961,-27.465631589426433
9,PLAZOLETA EVITA,-58.830180010977131,-27.478425970953413
11,PLAZA TORRENT ,-58.833343183757478,-27.472217829120854
12,PARQUE MITRE,-58.827578610111807,-27.460396353070117
13,PLAZA VERA,-58.837496179385056,-27.46714571927512
14,BARRIO PIRAYUI,-58.782065412681213,-27.506300222370655
15,LAGUNA SECA,-58.804885067795823,-27.489916824299616
