fecha,punto_verde,unidad,cantidad,kg_residuos_secos_reciclables,destino,observaciones
2019/01/17,Evento,kg,77.96,77.96,Cooperativa Fortaleza,Festival del chamame
2019/01/18,Evento,kg,61.718,61.718,Cooperativa Fortaleza,Festival del chamame
2019/01/19,Evento,kg,67.014,67.014,Cooperativa Fortaleza,Festival del chamame
2019/01/20,Evento,kg,274.392,274.392,Cooperativa Fortaleza,Festival del chamame
2019/01/21,Evento,kg,6.1,6.1,Cooperativa Fortaleza,Festival del chamame
2019/03/11,Evento,kg,17.128,17.128,Cooperativa Fortaleza,CORSOS
2019/03/21,Evento,kg,26.756,26.756,Cooperativa Fortaleza,CORSOS
2019/05/12,Evento,kg,2.785,2.785,Cooperativa Fortaleza,CORSOS
2019/04/26,Plaza Libertad,kg,1.5,1.5,Cooperativa Fortaleza,NULL
2019/07/19,Plaza Libertad,kg,12.5,12.5,Cooperativa Fortaleza,NULL
2019/07/22,Santa Catalina,kg,5,5,Cooperativa Fortaleza,NULL
2019/07/22,Plaza Libertad,kg,15,15,Cooperativa Fortaleza,NULL
2019/07/29,Santa Catalina,kg,2,2,Cooperativa Fortaleza,NULL
2019/07/29,Plaza Libertad,kg,20,20,Cooperativa Fortaleza,NULL
2019/08/09,Plaza Libertad,kg,2,2,Cooperativa Fortaleza,NULL
2019/08/12,Santa Catalina,kg,1.5,1.5,Cooperativa Fortaleza,NULL
2019/08/12,Plaza Libertad,kg,25,25,Cooperativa Fortaleza,NULL
2019/09/02,Santa Catalina,kg,2.5,2.5,Cooperativa Fortaleza,NULL
2019/09/02,Plaza Libertad,kg,35,35,Cooperativa Fortaleza,NULL
2019/09/06,Plaza Libertad,kg,25,25,Cooperativa Fortaleza,NULL
2019/09/12,Plaza Libertad,kg,25,25,Cooperativa Fortaleza,NULL
2019/09/19,Santa Catalina,kg,1,1,Cooperativa Fortaleza,NULL
2019/09/19,Plaza Libertad,kg,25,25,Cooperativa Fortaleza,NULL
2019/09/23,Plaza Libertad,kg,30,30,Cooperativa Fortaleza,NULL
2019/09/23,Santa Catalina,kg,1.55,1.55,Cooperativa Fortaleza,NULL
2019/09/23,Plaza Libertad,kg,40,40,Cooperativa Fortaleza,NULL
2019/09/23,Parque Camba Cua,kg,20,20,Cooperativa Fortaleza,NULL
2019/09/26,Santa Catalina,kg,1.5,1.5,Cooperativa Fortaleza,NULL
2019/09/26,Plaza Libertad,kg,30,30,Cooperativa Fortaleza,NULL
2019/09/27,Plaza Libertad,kg,35,35,Cooperativa Fortaleza,NULL
