fecha,zona,recoleccion_tipo,cantidad_domicilios,gr_residuos_secos_reciclables,kg_residuos_secos_reciclables,destino
2018/07/23,Molina Punta,a puerta,NULL,38535,38.535,Cooperativa Fortaleza
2018/07/27,Molina Punta,a puerta,NULL,32610,32.61,Cooperativa Fortaleza
2018/07/30,Molina Punta,a puerta,NULL,29450,29.45,Cooperativa Fortaleza
2018/08/06,Molina Punta,a puerta,NULL,21345,21.345,Cooperativa Fortaleza
2018/08/07,Molina Punta,a puerta,NULL,34790,34.79,Cooperativa Fortaleza
2018/08/10,Molina Punta,a puerta,NULL,23950,23.95,Cooperativa Fortaleza
2018/08/13,Molina Punta,a puerta,NULL,23715,23.715,Cooperativa Fortaleza
2018/08/22,Molina Punta,a puerta,NULL,35798,35.798,Cooperativa Fortaleza
2018/08/24,Molina Punta,a puerta,NULL,46986,46.986,Cooperativa Fortaleza
2018/08/31,Molina Punta,a puerta,NULL,25569,25.569,Cooperativa Fortaleza
2018/09/03,Molina Punta,a puerta,NULL,16800,16.8,Cooperativa Fortaleza
2018/09/07,Molina Punta,a puerta,NULL,48000,48,Cooperativa Fortaleza
2018/09/10,Molina Punta,a puerta,NULL,25805,25.805,Cooperativa Fortaleza
2018/09/14,Molina Punta,a puerta,NULL,34295,34.295,Cooperativa Fortaleza
2018/09/17,Molina Punta,a puerta,NULL,32410,32.41,Cooperativa Fortaleza
2018/09/21,Molina Punta,a puerta,NULL,31755,31.755,Cooperativa Fortaleza
2018/10/01,Molina Punta,a puerta,NULL,17790,17.79,Cooperativa Fortaleza
2018/10/03,Molina Punta,a puerta,NULL,22600,22.6,Cooperativa Fortaleza
2018/10/08,Molina Punta,a puerta,NULL,26190,26.19,Cooperativa Fortaleza
2018/10/12,Molina Punta,a puerta,NULL,30006,30.006,Cooperativa Fortaleza
2018/10/19,Molina Punta,a puerta,NULL,47125,47.125,Cooperativa Fortaleza
2018/10/22,Molina Punta,a puerta,NULL,118609,118.609,Cooperativa Fortaleza
2018/10/26,Molina Punta,a puerta,NULL,31485,31.485,Cooperativa Fortaleza
2018/11/09,Molina Punta,a puerta,NULL,49675,49.675,Cooperativa Fortaleza
2018/11/16,Molina Punta,a puerta,NULL,41705,41.705,Cooperativa Fortaleza
2018/11/22,Molina Punta,a puerta,NULL,8530,8.53,Cooperativa Fortaleza
2018/11/30,Molina Punta,a puerta,NULL,6825,6.825,Cooperativa Fortaleza
2018/12/03,Molina Punta,a puerta,NULL,22065,22.065,Cooperativa Fortaleza
2018/12/07,Molina Punta,a puerta,NULL,37595,37.595,Cooperativa Fortaleza
2018/12/13,Molina Punta,a puerta,NULL,29675,29.675,Cooperativa Fortaleza
2018/12/28,Molina Punta,a puerta,NULL,34555,34.555,Cooperativa Fortaleza
2019/01/04,Molina Punta,a puerta,NULL,24975,24.975,Cooperativa Fortaleza
2019/01/11,Molina Punta,a puerta,NULL,17290,17.29,Cooperativa Fortaleza
2019/01/25,Molina Punta,a puerta,NULL,33865,33.865,Cooperativa Fortaleza
2019/02/01,Molina Punta,a puerta,NULL,18110,18.11,Cooperativa Fortaleza
2019/02/08,Molina Punta,a puerta,NULL,21620,21.62,Cooperativa Fortaleza
2019/02/15,Molina Punta,a puerta,NULL,30905,30.905,Cooperativa Fortaleza
2019/02/18,Molina Punta,a puerta,NULL,34087,34.087,Cooperativa Fortaleza
2019/02/19,Molina Punta,a puerta,NULL,9075,9.075,Cooperativa Fortaleza
2019/02/22,Molina Punta,a puerta,NULL,19260,19.26,Cooperativa Fortaleza
2019/03/01,Molina Punta,a puerta,NULL,33265,33.265,Cooperativa Fortaleza
2019/03/13,Molina Punta,a puerta,NULL,19864,19.864,Cooperativa Fortaleza
2019/04/26,Molina Punta,a puerta,NULL,81445,81.445,Cooperativa Fortaleza
2019/05/01,Molina Punta,a puerta,NULL,19275,19.275,Cooperativa Fortaleza
2019/05/03,Molina Punta,a puerta,NULL,37411,37.411,Cooperativa Fortaleza
2019/05/17,Molina Punta,a puerta,NULL,64908,64.908,Cooperativa Fortaleza
2019/05/18,Molina Punta,a puerta,NULL,43580,43.58,Cooperativa Fortaleza
2019/05/24,Molina Punta,a puerta,NULL,11425,11.425,Cooperativa Fortaleza
2019/06/07,Molina Punta,a puerta,NULL,86418,86.418,Cooperativa Fortaleza
2019/06/08,Molina Punta,a puerta,NULL,23340,23.34,Cooperativa Fortaleza
2019/06/12,Molina Punta,a puerta,NULL,64695,64.695,Cooperativa Fortaleza
2019/06/17,Molina Punta,a puerta,NULL,6510,6.51,Cooperativa Fortaleza
2019/06/26,Molina Punta,a puerta,NULL,3775,3.775,Cooperativa Fortaleza
2019/07/13,Molina Punta,a puerta,NULL,78805,78.805,Cooperativa Fortaleza
2019/08/02,Molina Punta,a puerta,NULL,36485,36.485,Cooperativa Fortaleza
2019/08/04,Molina Punta,a puerta,NULL,29280,29.28,Cooperativa Fortaleza
2018/10/29,Juan de Vera,a puerta,NULL,39389,39.389,Cooperativa Fortaleza
2018/11/05,Juan de Vera,a puerta,NULL,16560,16.56,Cooperativa Fortaleza
2018/11/10,Juan de Vera,a puerta,NULL,19979,19.979,Cooperativa Fortaleza
2018/11/12,Juan de Vera,a puerta,NULL,25990,25.99,Cooperativa Fortaleza
2018/11/19,Juan de Vera,a puerta,NULL,47330,47.33,Cooperativa Fortaleza
2018/11/26,Juan de Vera,a puerta,NULL,40165,40.165,Cooperativa Fortaleza
2018/12/03,Juan de Vera,a puerta,NULL,17648,17.648,Cooperativa Fortaleza
2018/12/10,Juan de Vera,a puerta,NULL,57364,57.364,Cooperativa Fortaleza
2018/12/12,Juan de Vera,a puerta,NULL,85800,85.8,Cooperativa Fortaleza
2018/12/17,Juan de Vera,a puerta,NULL,36000,36,Cooperativa Fortaleza
2018/12/24,Juan de Vera,a puerta,NULL,78823,78.823,Cooperativa Fortaleza
2019/01/14,Juan de Vera,a puerta,NULL,44300,44.3,Cooperativa Fortaleza
2019/01/21,Juan de Vera,a puerta,NULL,55870,55.87,Cooperativa Fortaleza
2019/01/28,Juan de Vera,a puerta,NULL,107260,107.26,Cooperativa Fortaleza
2019/02/03,Juan de Vera,a puerta,NULL,9500,9.5,Cooperativa Fortaleza
2019/02/04,Juan de Vera,a puerta,NULL,135700,135.7,Cooperativa Fortaleza
2019/02/08,Juan de Vera,a puerta,NULL,33975,33.975,Cooperativa Fortaleza
2019/02/18,Juan de Vera,a puerta,NULL,31465,31.465,Cooperativa Fortaleza
2019/02/22,Juan de Vera,a puerta,NULL,19260,19.26,Cooperativa Fortaleza
2019/02/25,Juan de Vera,a puerta,NULL,41744.98,41.74498,Cooperativa Fortaleza
2019/03/20,Juan de Vera,a puerta,NULL,23639,23.639,Cooperativa Fortaleza
2019/04/08,Juan de Vera,a puerta,NULL,32415,32.415,Cooperativa Fortaleza
2019/04/15,Juan de Vera,a puerta,NULL,35705,35.705,Cooperativa Fortaleza
2019/04/25,Juan de Vera,a puerta,NULL,37416,37.416,Cooperativa Fortaleza
2019/04/29,Juan de Vera,a puerta,NULL,15690,15.69,Cooperativa Fortaleza
2019/05/13,Juan de Vera,a puerta,NULL,46131,46.131,Cooperativa Fortaleza
2019/05/27,Juan de Vera,a puerta,NULL,9855,9.855,Cooperativa Fortaleza
2019/06/03,Juan de Vera,a puerta,NULL,23645,23.645,Cooperativa Fortaleza
2019/06/10,Juan de Vera,a puerta,NULL,20691,20.691,Cooperativa Fortaleza
2019/07/01,Juan de Vera,a puerta,NULL,35850,35.85,Cooperativa Fortaleza
2019/07/06,Juan de Vera,a puerta,NULL,47825,47.825,Cooperativa Fortaleza
2019/07/15,Juan de Vera,a puerta,NULL,78136,78.136,Cooperativa Fortaleza
2019/07/22,Juan de Vera,a puerta,NULL,18875,18.875,Cooperativa Fortaleza
2019/07/29,Juan de Vera,a puerta,NULL,7950,7.95,Cooperativa Fortaleza
2019/08/03,Juan de Vera,a puerta,NULL,4720,4.72,Cooperativa Fortaleza
2019/08/05,Juan de Vera,a puerta,NULL,57185,57.185,Cooperativa Fortaleza
2019/04/26,Molina Punta,a puerta,NULL,31865,31.865,Cooperativa Fortaleza
2019/07/19,Molina Punta,a puerta,NULL,31825,31.825,Cooperativa Fortaleza
2019/07/22,Juan de Vera,a puerta,NULL,44860,44.860,Cooperativa Fortaleza
2019/07/29,Juan de Vera,a puerta,NULL,22360,22.36,Cooperativa Fortaleza
2019/08/09,Molina Punta,a puerta,NULL,33760,33.76,Cooperativa Fortaleza
2019/08/12,Juan de Vera,a puerta,NULL,33705,33.7,Cooperativa Fortaleza
2019/08/19,Juan de Vera,a puerta,NULL,20760,20.76,Cooperativa Fortaleza
2019/09/02,Juan de Vera,a puerta,NULL,44080,44.08,Cooperativa Fortaleza
2019/09/06,Molina Punta,a puerta,NULL,46200,46.2,Cooperativa Fortaleza
2019/09/09,Juan de Vera,a puerta,NULL,19420,19.42,Cooperativa Fortaleza
2019/09/09,Molina Punta,a puerta,NULL,4960,4.96,Cooperativa Fortaleza
2019/09/12,Juan de Vera,a puerta,NULL,33205,33.205,Cooperativa Fortaleza
2019/09/13,Molina Punta,a puerta,NULL,33950,33.95,Cooperativa Fortaleza
2019/09/16,Juan de Vera,a puerta,NULL,44200,44.2,Cooperativa Fortaleza
2019/09/19,Juan de Vera,a puerta,NULL,29525,29.525,Cooperativa Fortaleza
2019/09/20,Molina Punta,a puerta,NULL,17950,17.95,Cooperativa Fortaleza
2019/09/23,Molina Punta,a puerta,NULL,56370,56.37,Cooperativa Fortaleza
2019/09/23,Juan de Vera,a puerta,NULL,17695,17.695,Cooperativa Fortaleza
2019/09/26,Juan de Vera,a puerta,NULL,12570,12.57,Cooperativa Fortaleza
2019/09/27,Molina Punta,a puerta,NULL,36810,36.81,Cooperativa Fortaleza
2019/09/30,Molina Punta,a puerta,NULL,51420,51.42,Cooperativa Fortaleza
2019/10/04,Molina Punta,a puerta,NULL,22410,22.41,Cooperativa Fortaleza
2019/10/07,Juan de Vera,a puerta,NULL,19657,19.657,Cooperativa Fortaleza
2019/10/11,Molina Punta,a puerta,NULL,24885,24.885,Cooperativa Fortaleza
2019/01/25,Delegacion Dr. montaña,rulero,NULL,NULL,6,Cooperativa Fortaleza
2019/06/19,Delegacion Dr. montaña,rulero,NULL,NULL,22.5,Cooperativa Fortaleza
2019/06/11,Delegacion Dr. montaña,rulero,NULL,NULL,10.5,Cooperativa Fortaleza
2019/08/29,Delegacion Dr. montaña,rulero,NULL,NULL,29.085,Cooperativa Fortaleza
2018/12/07,UNNE - FaCENA,rulero,NULL,NULL,2.21,Cooperativa Fortaleza
2018/12/28,UNNE - FaCENA,rulero,NULL,NULL,3.61,Cooperativa Fortaleza
2019/02/15,UNNE - FaCENA,rulero,NULL,NULL,2.14,Cooperativa Fortaleza
2019/02/08,UNNE - FaCENA,rulero,NULL,NULL,3.11,Cooperativa Fortaleza
2019/03/01,UNNE - FaCENA,rulero,NULL,NULL,1.735,Cooperativa Fortaleza
2019/04/12,UNNE - FaCENA,rulero,NULL,NULL,2.66,Cooperativa Fortaleza
2019/05/24,UNNE - FaCENA,rulero,NULL,NULL,2.7,Cooperativa Fortaleza
2019/07/19,Delegacion 17 de Agosto,rulero,NULL,NULL,2,Cooperativa Fortaleza
2019/07/19,Delegacion San Gerónimo,rulero,NULL,NULL,1.5,Cooperativa Fortaleza
2019/07/22,Delegacion 17 de Agosto,rulero,NULL,NULL,3,Cooperativa Fortaleza
2019/07/22,Delegacion Laguna Seca,rulero,NULL,NULL,1.5,Cooperativa Fortaleza
2019/07/22,Delegacion Dr. montaña,rulero,NULL,NULL,0.5,Cooperativa Fortaleza
2019/07/22,Delegacion Dr. Nicolini,rulero,NULL,NULL,6,Cooperativa Fortaleza
2019/07/29,Delegacion 17 de Agosto,rulero,NULL,NULL,1,Cooperativa Fortaleza
2019/07/29,Delegacion Laguna Seca,rulero,NULL,NULL,1.5,Cooperativa Fortaleza
